Province/State,Country/Region,Lat,Long,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20
Andhra Pradesh,India,15.9129,79.74,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,India,25.612677,85.158875,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,India,21.2787,81.8661,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,India,28.7041,77.1025,0,0,1,2,2,2,2,3,3,5,5,5
Gujarat,India,22.2587,71.1924,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,India,29.0588,76.0856,0,0,0,0,0,0,0,0,0,0,0,11
Himachal Pradesh,India,31.1048,77.1734,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,India,15.3173,75.7139,0,0,0,0,0,0,0,0,0,1,2,2
Kerala,India,10.8505,76.2711,3,3,3,3,3,3,3,3,3,3,3,3
Madhya Pradesh,India,22.9734,78.6569,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,India,19.7515,75.7139,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,India,20.9517,85.0985,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,India,11.9416,79.8083,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,India,31.1471,75.3412,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,India,27.0238,74.2179,0,0,1,3,3,3,3,3,3,3,3,3
Tamil Nadu,India,11.1271,78.6569,0,0,0,0,0,0,0,1,1,1,1,1
Telengana,India,18.1124,79.0193,0,0,0,1,1,1,1,1,1,1,1,1
Chandigarh,India,30.7333,76.7794,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,India,33.7782,76.5762,0,0,0,0,0,0,0,0,0,0,0,0
Ladakh,India,34.2996,78.2932,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,India,26.8467,80.9462,0,0,4,4,4,5,5,9,9,9,9,9
Uttarakhand,India,30.0668,79.0193,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,India,22.9868,87.855,0,0,0,0,0,0,0,0,0,0,0,0
